semantic derivation,domain,semantics,PA_root,PIE,IE_cognates,translation,luw,hitt,pal,lyd,lyc_A,lyc_B,pis,sid,car,comments
"to press, to apply pressure physically → to press / put pressure on someone psychologically",enmity,oppression,*dmaHs-/*dm̥Hs- '1. to press (physically); 2. to oppress (psychologically)',*dm̥‑né/n‑h2‑,"Gr. εdαmασα ‘to tame’, OIr. damnaim ‘to tie up’, Skt. damyáti ‘to tame’, Lat. domre ‘to tame’",to (op)press,damaš-ti,tamāšš-/tame/išš-(zi) ‘to (op)press’ damešḫai-   tamas,,,,,,,,"*dméh2-s-ti / dmh2-s-énti. *dmaHs-/*dmHs- PIE n‑pres. *dm̥‑né/n‑h2‑, cf. Ved. damāyáti ‘to tame, oppress’ (refashioned, EWAia I:698, Grassmann 1996a:576f.), Gk. δάμνημι, Dor. δάμνᾱμι ‘to tame, subdue, conquer (esp. of horses)’ (GEW I:346, DELG:250f., EDG:301, LSJ:368), OIr. damnaim ‘to subdue, break in (of horses)’ (eDIL s.v. 2.damnaid, EDPC:88) PIE iter. *domh2‑éi̯e/o‑, cf. Ved. damáyati ‘to tame’, Khot. dīm‑/danda- ‘to tame’, Oss. domyn/dæmun ‘to tame, exhaust, request’ (EWAia I:698, Grassmann 1996a:576f., EDIV:55, Abaev I:365f.), Lat. domāre ‘to tame’ (WH I:367f., EM:182, EDLIL:178), PGerm. *tamjan- (Goth. ga‑tamjan [hapax, Mk.5.4], ON temja ‘to tame’, OHG zemman) [+] (EDPG:508, GED:149f., Bjorvand & Lindeman 2000a:922, Kluge & Seebold 2011a: 1001, Heidermanns 1993a:589f.) Celtic OIr. daimid ‘to endure, suffer’ (eDIL s.v. daimid, EDPC:89f.) Regarding the Anatolian semantics, the meaning of PAnat. *dmaHs- ‘to press (physically)’ [+] is primary, and ‘to oppress (psychologically)’ secondary, [+] cf. Buck 1949a:575. The meaning ‘to tame’ of PIE 2.*demh2- can be established only for a fairly recent stage of Core IE, while the original meaning has to be approximated as ‘to press (physically)’.2. Connection with PIE *dem- ‘to build’ A connection of PIE 2.*demh2- ‘to press, oppress’ (contra LIV²:116f., cf. above) with PIE 1.*dem- ‘to assemble, build’ is frequently assumed. [+] A factitive relation seems plausible: ‘to build’, ‘house’ → ‘to make appropriate for living by a house’ > ‘to domesticate, tame’. However, since the primary meaning of PIE 2.*demh2- is ‘to press (physically)’, this development is impossible. In order to connect both roots, the original meaning of 1.*dem- ‘to build, assemble’ can hence be approximated as ‘to press on, compress (clay vel sim.)’, [+] thus: (early) PIE *dem- ‘to press (physically)’> PIE 1.*dem- ‘to press on, compress (clay vel sim.)’ > ‘to build, assemble’ (cf. Lyd. tam- ‘to build’)→ PIE 2.*demh2- ‘to press (physically)’ (cf. PAnat. *dmaH‑s‑) > ‘to oppress (cf. PAnat. *dmaH‑s‑); to tame (cf. Gk. δάμνημι)’ The meanings ‘to build, assemble’ and ‘to (op)press’, might exhibit a polysemy that already existed in PIE. For the root-final *‑h2- in PIE 2.*demh2- ‘to press’, cf. below. Kloekhorst 825 damme/iš- (c.) ‘damaging, act of violence, punishment’: IE cognates: see s.v. tamšš-zi / tame/išš-. Gr. 0‘to tame’, OIr. damnaim ‘to tie up’, Skt. damyáti ‘to tame’, Lat. domre ‘to tame’.PIE *demh2-sh2ó- See Otten 1973: 52 for attestations. This noun and its derivatives are almost consistently spelled with the sign DAM. Although in NS texts this sign can be read dax as well (see e.g. tamšš-zi / tame/išš- and ištamašš-zi (s.v. (UZU)ištman- / ištamin-)), its usage in MS texts and especially the OS attestation t-m-[m]i-iš ha-an-ta-an show that all attestations should be read with geminate -mm-. We find spellings with -i- as well as -e- in MS texts already, which points to a phonological interpretation /taMsH-/. Already Götze (1930: 179) connected damme/iš- with the verb tamšš-zi / tame/išš- ‘to oppress’. Although this is generally accepted, the fact that damme/iš- shows geminate -mm-, whereas tamašš-zi / tame/išš- does not, is significant. As I have argued s.v. tamšš-zi / tame/išš-, this verb has to be phonologically interpreted /tmS-/, /tmS-/ and goes back to *dméh2-s-ti, *dmh2-s-énti. The noun damme/iš- must be phonologically interpreted /taMsH-/, however, with a real vowel -a- between d- and -mm-. This vowel can only reflect a real PIE vowel. I therefore reconstruct *demh2-sh2ó-. For the development of *CeRHsC > CaRRsC compare kallišta /káLsta/ ‘called’ < *élh1st(o). For the suffix -ša- compare e.g. palza()a-, ameša-, teša-, etc. Иванов 175"
to speak → to curse,enmity,curse,*tér‑/*tr̥- to speak’ (for the verbs with the meaning of cursing -- reduplication),*ter- 'to speak',"Skt. tārá- ‘loud, shrill, pervasive’,  Gk. fut. 1sg. τετορήσω ‘to proclaim in shrill piercing tones’ (hapax, Ar.Pax381), τορός ‘loud, shrill, clear; fast, agile’ (A+)  OIr. torm ‘sound, tumult’Lith. tariù, tarýti ‘to speak, say’, OPr. tattrātwei, etc. ‘to answer’, acc. sg. tārin f. ‘voice’ (III) TochB m‑part. tärraskemane ‘pleading, imploring’ or ‘comforting, soothing’ (hapax) ",to curse,tātariyamman- ‘curse’ /*tadariya-(i)/ ‘to curse,tē-/tar-(mi) ‘to speak’,dar- ‘to speak(?)’,,dderije-(ti) ‘to curse (?)’,,,,,"Skt. tārá- ‘loud, shrill, pervasive’ [+] Gk. fut. 1sg. τετορήσω ‘to proclaim in shrill piercing tones’ (hapax, Ar.Pax381), τορός ‘loud, shrill, clear; fast, agile’ (A+) [+] OIr. torm ‘sound, tumult’Lith. tariù, tarýti ‘to speak, say’, OPr. attrātwei, etc. ‘to answer’, acc. sg. tārin f. ‘voice’ (III) TochB m‑part. tärraskemane ‘pleading, imploring’ or ‘comforting, soothing’ (hapax) PIE *terh1- ‘to drill, rub’ (LIV²:632f.) or PIE *terh2- ‘to pass, cross’"
loss → betrayal → humiliation,enmity,oppression,,"*léh1u-ri-s, *léh1u-ri-m, *lh1u-réi-s ?","Goth. lewjan ‘to betray’, Lith. liáutis ‘to stop’, Ukr. livýty ‘to omit, to neglect’",humiliation,,"luriyaḫ- 'to humilate, embarrass'",,,,,,,,"Kloekhorst 534 luri- (c. > n.) ‘loss of honour, disgrace, humiliation; financial loss; shortage(?)’ (Sum. I.BÍ.ZA): Derivatives: lriatar (n.) ‘disgrace, humiliation’ (nom.-acc.sg. [l]u-u-ri-a-tar (NH)), lria-i (IIb) ‘to humiliate, to disgrace’ (3sg.pret.act. lu-ri-a-a-ta (NH),2sg.imp.act. lu-u-ri-a-a (NH), 3pl.imp.act. lu-ri-a-a-a-an-du (OH/NS), impf. lu-u-ri-a-a-i-eš-ke/a- (NH)). PIE *léh1u-ri-s, *léh1u-ri-m, *lh1u-réi-s ? See CHD L-M: 86f. for attestations. About the semantics it states: “the unifying idea seems to be ‘loss’, whether of possessions, honour or station”. The word shows many plene spellings of the -u-, for which predominantly the sign U is used. Twice, we find the sign Ú, however. Either these two instances are scribal errors, or we are dealing with traces of an original ablaut between lu-u-ri- = /lóri-/ and lu-ú-ri- = /lri-/ (see § 1.3.9.4f and below). The oldest attestations show commune gender, whereas the one neuter form is attested in a NH text only. According to Puhvel (HED 5: 123), l ri- is to be analysed as a deverbal noun in -ri-, just as edri- ‘food’, šri- ‘shape’ etc. that are derived from ed-zi / ad- ‘to eat’ and eš-zi / aš- ‘to be’ respectively. If this is correct, we may think of a connection with the verbal root *leh1-, which shows a u-present in e.g. Goth. lewjan ‘to betray’, Lith. liáutis ‘to stop’, Ukr. livýty ‘to omit, to neglect’. Perhaps lu-ú-ri- = /lri-/ reflects *leh1u-ri-, whereas lu-u-ri- = /lóri-/ reflects *lh1u-ri-."
to despise ← to diminish → small,enmity,oppression,*tep-,*dhébh-u-,"Skt. dabhrá- ‘little, small, deficient’, dabhnóti ‘to deceive, to hurt’, ádbhuta- ‘unerring, wunderful’, GAv. dbnao- ‘to deceive’","to diminish, to despise","tāpa/i- ‘bad, shoddy, of minor value (?)’, (cf. Hitt. tēpu- ‘small’ for a possible etymological connection assumed here), https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3566; tapašša- ‘illness (?)’, taparu- 'humiliation'",tepnu-; tepawesk- 'humiliate'; tēpu-/tēpau̯- 'small',,,,,,,,"Kloekhorst (869): from tēpu- / tēpau- (adj.) ‘little, few’: IE cognates: Skt. dabhrá- ‘little, small, deficient’, dabhnóti ‘to deceive, to hurt’, ádbhuta- ‘unerring, wunderful’, GAv. dbnao- ‘to deceive’.PIE *dhébh-u- This noun and its derivatives are predominantly spelled te-e-p° and te-p° (both in OStexts already). Twice, we find an aberrant spelling, namely [t]i-e-pu (OS) andz[e-]-pu (OS), but these can hardly be anything else than scribal errors. This adjective, which has to be phonologically interpreted /tébu- / tébau-/ has since Marstrander (1919: 150) generally been connected with Skt. dabhrá- ‘little, small, deficient’. At the same time Hrozný (1919: 1464) connected Hitt. tepnu-zi with Skt.dabhnóti ‘to deceive’, which goes back to *dhebh-neu- (but note that GAv. dbnao- = /dbnao-/ shows the most archaic formation, namely *dbh-neu-). A u-stem, as in Hitt. tpu-, is found in Skt. ádbhuta- ‘unerring, wunderful’ (*.-dhbh-u-to-) as well.See s.v. tepšu- / tepša- for a nominal derivative reflecting *dhebh-su-. See also Luw. taparu- 'humiliation' (https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3567)."
hostility → revenge,enmity,revenge,*k(h2)et ‘hostility (vel sim.)’,*k̑h2et-(e)u-,"OIr. cath‘strife, battle’",hostility (?); to be enemies,"/katt(i)-/, ka-ti-i-; *katt(i)- hostility (?)’; kattawatnalla/i- ‘vengeful; plaintiff; revenger’","kattu- ‘enmity, strife’; kattuwae-, kattawatar  'to be aggrieved'; katterraḫḫ-",,,,,,,,"Kloekhorst (466): PIE *k̑h2et-(e)u- ? Derivatives: kattuae-zi (Ic2) ‘to be aggrieved(?)’ (3sg.pret.act. kad-du-u-a-i[t] (OH/NS), kad-du-a-i-i[t] (OH/NS)), kattatar / kattawann- (n.) ‘aggrievedness, enmity’ (nom.-acc.sg. kat-ta-a-a-tar (OH/NS), kat-ta-a-tar (OH/MS), gen.sg. kat-ta-a-an-na-aš (OH/NS)), kattaannalli- (adj.) ‘vengeful’ (nom.sg.c. kat-ta-a-‹an-›na-al-li-iš (MH/NS)). See Puhvel HED 4: 138f. for attestations. Although the basic noun kattu- is only attested once, on the basis of the derivatives kattuae- and kattaatar we can set up an adjective *kattu- / katta- ‘aggrieved, inimical’. Laroche (1965: 51) compared these words to Gr. ‘spite, anger’, which is usually connected with OIr. cath‘strife, battle’ (which reflects *katu- as in the personal names Gaul. Catu-riges, OHG Hadu-brand), MHG hader ‘fight, struggle’ and Skt. sátru- ‘enemy’. These words point to a root *h2et- (laryngeal needed to explain OIr. -a-), which would mean that Hitt. kattu- / katta- reflects *h2et-eu-. Note that this implies that CLuw. kattawatnalli- cannot be genuinely Luwian, since * > Luw. z-, and therefore must be an adaptation of the Hittite word. https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3777"
"high → eminent, powerful → arrogant",enmity,revenge,*serk-,*serk‑,"TochB särk- ‘to be better than’, Lat. sarci ‘to patch up, to mend'","vengeful, something negative, angry","šarkiwal(i), šarkatt- CLuw. *šark-.","šark- /šarkiwalli- 'eminent, illustrious, powerful'",,,,,,,,"Kloekhorst (734): šarku- / šarga- (adj.) ‘eminent, illustrious, powerful’, (c.) ‘an eminent person’. IE cognates: TochB särk- ‘to be better than’, Lat. sarci ‘to patch up, to mend’. PIE *sr-(e)u- or *sor-(e)u- This adjective is often translated ‘high in status’(cf. also CHD), which goes back to Juret (1942: 43) who assumed an inner-Hittite connection with šar ‘upwards’ and šr ‘on top’. This connection cannot be correct, however, and šarku- / šarga- therefore should be translated ‘eminent, illustrious, powerful’ without semantically linking it to ‘high’. We are clearly dealing with an u-stem adjective derived from a root šark-, which probably is found as such in the verb šarkiške/a- ‘to be good’ < *šark-ške/a-. Note that the editors of CHD (Š: 267) translate this verb as “to ascend”, which they admit to have based “on the supposed link to šarku- ‘high, eminent’”. Moreover, in order to illustrate this meaning they only cite one context, KUB 24.7 iv 25-26, which is broken and therefore non probative. The other context in which this verb occurs is much clearer (for the reading šar-[k]i-iš-ke-ši, cf. šarku- d UTU-u- ‘eminent Sun-god’ in ibid. i 15, 18, 58)."
"separate, distant → foreign / alien → hostile → envious",enmity,envy; enmity,*al-o- ‘distant’,"PIE *al-, *ali- → PIE *al-o-, *ali̯-o","ME ellendish ‘foreign’, Lat alius ‘other’, aliēnus ‘alien’, aliā ‘elsewhere’, aliās ‘elsewhere, at another time’, Gk ἄλλος, proclitic adversative conjunction ἀλλά ‘but’, Arm. ayl (o-stem) ‘other, different’, Ved. arí, aryá-, áraṇa- ‘alien, remote’","enmity; envious person, covetousness; to become envious, covet, enemy force","/alan(na)-/, á-lá/í-na- ; alanna/i- /aliwann(i)-, alunn(i)-/, ali-wa/i-ní-; /(a)liwannid-/, (VIR2)ali-wa/i-ní-, /alunam(i)-/, (“COR”)á-la/i/u-na-ma-; /alunazza-(i)/, (COR)á-la/i/u-na-za from HL /ala-i/, see alienation āla/i- ‘distant (?)’ /arla-/, ara/i-la- ‘pedestal, altar (?)’",,, *al(i)- ‘distant (?)’,,,,,*al- (?),"As demonstrated by Rieken & Yakubovich 2022a:278f. (accepted in Steitler 2017a:390, 395), Anatolian inherited the root *al- ‘not related to the speaker’ with derivatives that show a range of metaphorically transferred meanings: ‘other’, ‘distant’, ‘foreign’, ‘hostile’, and ‘wild’. Earlier interpretations took other directions. Thus, Watkins 1995b:144-147 claimed that āla/i- means ‘high, lofty, steep’ and was borrowed into Mycenean Greek, appearing as the first member in the Greek compound ᾱλίβατος (Pindar, Aeschylus), ἤλίβατος (Homer) ‘steep (rock)’. This interpretation was presented already in Watkins 1986a:714f. n. 29, accepted in CLL:6, and considered in HHw:13. In contrast, Starke 1990a:603 argued that Luw. āla/i- is unlikely to function as the word for ‘steep, high’, since this meaning is expressed by Luw. parrai(ya)-. Instead, Starke 1990a:374 n. 1346 and 462 n. 1683 (repeated in HHW:13) suggested that the lexeme in question represents the noun for ‘sea’, regarding it as a cognate of Lyc. A elijãna ‘nymphs’. Starke’s interpretation of ala/i- ultimately went back to Carruba 1962a:65f. (repeated in Carruba 1982:47f.), HW:475, Laroche 1979:114; still very vague Meriggi 1957:215 and without any assignment of a meaning DLL:25f. PIE endingless locative *al and i-locative *al-i ‘elsewhere’ (Pokorny IEW 24‑27; Specht 1943a:49f., Dunkel LIPP II 18‑21); delocatival derivatives: *al, *al-i ‘elsewhere’ → *alo-, *ali̯o- ‘being elsewhere, other’ Tocharian B m. alyek, f. alyāk, n. allek; A m. ālak, f. ālyāk, n. ālak (Winter 1992c:151‑158); derivative B aletse ‘foreign’ Germanic Goth. aljis ‘other’, OHG eli-lentī ‘existence in foreign territory’ [Dasein in der Fremde] (EWAhd II.1044), Middle English ellendish ‘foreign’ Latin alius ‘other’, aliēnus ‘alien’, aliā ‘elsewhere’, aliās ‘elsewhere, at another time’ Ancient Greek ἄλλος, proclitic adversative conjunction ἀλλά ‘but’ (Hackstein 2011b) Classical Armenian ayl (o-stem) ‘other, different’ (Olsen 1999a:25) Vedic Sanskrit arí, aryá-, áraṇa- ‘alien, remote’. See in eDiAna: https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3210. As for semantics, see also niwaralla-."
"to spread out → to spread out one's arms → to hug → to intertwine → a loop, to tighten (physically) → metaphorical shift → a difficult state, depression, feeling of being constrained by circumstances → (physical, in the body) restlessness → fear",fear,"fear, tenseness; anxiety",*peth2-ul-,*peth2- ‘to spread out,"Goth. fatha ‘fence,  Slav. petъlja (Russ. петля)",fear of a body; anxiety,,pittuliya-,,,,,,,,"Puhvel (HED 113) The spelling pı ́-tu-li-ya-an guarantees the reading pı ́t- (rather than pa ́t-), while its hapax scriptio facilior does not shake -tt- in pı ́t-tu-, pointing to //t// and etymological *t. Cf. perhaps Goth. fatha ‘fence’, if originally ‘enclosure, corral’, possibly from *pet-A2- ‘spread’ as in pattar, pittalwa-, where the semantics would have to include ‘enfold,embrace’ (thus Rieken, Stammbildung 4712; cf. German um-fassen). Underlying the derivatives is a noun *pittul- ‘constriction’(type of assul-, taksul-, wastul-), with *si ́g pittulas ‘wool of constric- tion’ hypostasized as (SI ́G)pittula- ‘skein (of wool)’, Kloekhorst (681): The meanings ‘loop, knot’ (for (SÍG)pittula-) and ‘anguish, worry’ (for pittulia- and derivatives) seem to be connected by the notion ‘choking, strangling’, but I have been unable to find a formally fitting cognate with such a meaning. According to Rieken (1999a: 471-2), we have to start from a stem pittul- which she analyses as an -ul-derivative of the root *peth2- ‘to spread out’, assuming a semantic development ‘*ausbreiten’ > ‘*Arme ausbreiten’ > ‘*umfassen’ > ‘umschlingen’. (*расправить' > '*развести руки' > '*обнять' > 'окружить'.) This development does not seem very appealing to me. Molina: E.Rieken (1999) believes that there was a suffixal formation *peth2-ul- here and, accordingly, a semantic transition from ""to spread out > to spread out one's arms > to hug > to intertwine. I.Yakubovich (2016) draws a parallel with Slav. petъlja (Russ. петля), with a very close semantic formation. All in all, semantic transition from the concept of a knot to the concept of being restrained, anxious, worried sounds trivial and typologically frequent."
"*u̯er-eh1- 'notice, attention' + *deh1- 'put' → to focus attention (on something) → to be wary of something → to be afraid of something (→ “to frighten, to scare”)",fear,"fear, horror",*u̯er-eh1- + suffix *deh1-,*u̯(e)rh1-i- + *dheh1- ,"Lat. vereor ‘show respect,  OIr. cóīr, coair ‘full- fledged’, Wel. cyweir ‘prepared’ < Proto-Celt. *ko(m)-wari-; Goth. wars, OIsl. varr, OEng. wœr- ‘accurate, attentive’ (Proto-Germ. *wara-), Goth. warei ‘sly’, OEng. waru, OHGerm. wara ‘attention’.",fright,,werite-/warite-; uritema-,,,,,,,,"Kloekhorst (1004): PIE *w(e)rh1-i- + *dheh1- ? First it should be noted that although the bulk of the forms of this verb are spelled ú-e-ri-, we find two OS attestations that show wa-ri- with an aberrant -wa-. The one form that is spelled ú-i-ri- is attested in a NS text and can therefore be disregarded for etymological purposes. The fact that we find a stem erite- (ú-e-ri-ti-iz[-zi], ú-e-ri-te-eš-ta and weritema-) besides a stem e/arit- (ú-e-ri-iz-za-aš-ti /ueritsti/,waritanzi, ú-e-ri-ta[-an-zi] and eridanu-) reminds of verbs like peute-zi / peut-,uate-zi / uat- and wete-zi / wet-. These verbs all can probably be traced back to the root *dheh1- ‘to put’ preceded by several univerbated elements. Therefore, it is likely that we/arite-zi / we/arit- also consists of we/ari- + *dheh1-. This view is also advocated by Oettinger (2001: 467), who analyses the verb as *weri-de- ‘zur Verehrung setzen’, apparently connecting the first element with wer(ie/a)-zi ‘to call,to summon’ (q.v.). If this connection is correct, I would rather suggest another semantic development, namely ‘*to place a call > *to scream (in fear) > to fear’. If so, then the OS variant with wari- may show a zero grade formation *wrh1-i- besides the e-grade in werie/a-< *uerh1-e/o-, in analogy to which e-grade was introduced in warit(e)- >> werit(e)-after the OH period. Molina forthcoming: ""For werit(e)- (EDHIL: 591, 1003), following Oettinger (2001: 467), suggests PIE form in two parts: *w(e)rh1-i- + dheh1- (weri-dē- in Oettinger, *dē- meaning ‘put’). Semantic development in this case would be ‘start calling > call (in fear) > fear’ (and the connection with Hitt. weriya- ‘to call’ is, of course, suggested, too). Tischler (HEG W-Z:503) mentions this etymology together with another version (first mention – Marstrander 1919), according to which werit(e)- is connected to Lat. vereor ‘show respect, fear, to fear’. De Vaan (2018) reconstructs *wer-ē- ‘to be aware’ for Proto-Italian, and its cognates in Indo-European languages would be: OIr. cóīr, coair ‘full- fledged’, Wel. cyweir ‘prepared’ < Proto-Celt. *ko(m)-wari-; Goth. wars, OIsl. varr, OEng. wœr- ‘accurate, attentive’ (Proto-Germ. *wara-), Goth. warei ‘sly’, OEng. waru, OHGerm. wara ‘attention’. In PIE, accordingly, the form *uer-eh1- ‘notice, have importance’ might be reconstructed. Both etymologies can be combined by proposing a reconstruction: *uer-eh1- + suffix *deh1- > Proto-Hitt. *werē-dē- ‘put in a terrible position, terrify’. """
"[two → to doubt, to be of two minds] → to be surprised, to be frightened, fear → to be afraid",fear,"fear, reverence","PLuw. *du̯ai̯a- ‘to fear’; PA*du̯ói̯-/du̯i-´ ‘to fear’, with the transition  *dw- > *tw- > kw- ","*du̯ei̯- ‘to get frightened, fear’ ","OAv. duuaēθā- f. ‘threat; Gk. δείδω, δείδιμεν perf. ‘fear’ (Hom.), δεινός adj. ‘fearful, terrible, monstrous’, also ‘awesome, strong, extraordinary’ (Il.+), δειλός adj. ‘cowardly, miserable’ (Il.+), δεῖμα n. ‘fear’ (Il.+), Δεῖμος m. ‘Fear’ (personified, Il.), δέος n. ‘fear, alarm, affright’ (Il.+), ἀ-δεής adj. ‘fearless’ (Il.+); Arm. erkea-/erki- aor. midd. ‘to be afraid’, erknčʻi- pres. ‘to be afraid’, erkiwł sbst. ‘fear'.","to fear, revere; respect; frightened; to worry, to be concerned","CL duwayā-(i) ‘to fear, revere’; /kwaya-(i)/, kwa/i-i(a)-; kuwayanta-; kuwayant(i)-; /kwayada-/, kwa/i-ia-ta-; kuwayata-(i)/kwissa-(i)/, kwa/i-sà-; /kwissant(i)-/, hwa/i-sà-ta-; GK kuwayamma/i- ‘fearful’","k(u)waya- kuwaya-, k(u)wayata- (CL)",,,,,,,,"Puhvel (HED 302)Luw. kuway- < *dway- < * IE *dwey(s)- 'fear', seen in Gk.SeiSco < *d£8foia, Arm. erkneim 'fear', Skt. dvesti 'hate' (oderintdum metuantl; IEW 227-8). With kuwayata- cf. especially Gk. 8ei-voq 'fearsome, formidable'; it can be glossed as Ssivdg elvai (tuk-ma kuwayatallu vs. Iliad 3:172 aidoioq re poi EGGI cpiXe EKvpiSrAvog re), kuwayaralla- < *dwey(e)ro-, matching Lat. dirus and recalling Gk. SeiXog < *dweyelos with kuwayaralla mema- cf. Lat. dlra precari 'to curse'. Cf. Lye. kb < *dw (kbi [Milyan tbi] < *d\vr- 'two' [same root as *dwey-\], kbatra < *du(g)atra 'daughter') and such general parallels as German epier 'oblique' (vs. Swedish ivcir) or Quark 'curds'(vs. Russian tvorog). Cf. Laroche, BSL 62.1:50 (1967); Ivanov, Etimologija 1983 164-5 (1985).Superseded connections involved Skt. cetati 'pay attention' (Cop,Ling. 1:61 [1955]), cayati 'respect', Gk. Tico'rever^ (H. C. Melchert,Studies in Hit lite Historical Phonology 164 [1984]; Studies in memory of W.Cowgill 188 [1987]), thus essentially IE **Vv- (IEW636-7).PLuwian *du̯ai̯a- ‘to fear’; PIE - OAv. duuaēθā- f. ‘threat; Gk. δείδω, δείδιμεν perf. ‘fear’ (Hom.), δεινός adj. ‘fearful, terrible, monstrous’, also ‘awesome, strong, extraordinary’ (Il.+), δειλός adj. ‘cowardly, miserable’ (Il.+), δεῖμα n. ‘fear’ (Il.+), Δεῖμος m. ‘Fear’ (personified, Il.), δέος n. ‘fear, alarm, affright’ (Il.+), ἀ-δεής adj. ‘fearless’ (Il.+); Arm. erkea-/erki- aor. midd. ‘to be afraid’, erknčʻi- pres. ‘to be afraid’, erkiwł sbst. ‘fear'. eDiAna (Sasseville): ""Finally, there is also the possibility of relating *du̯ei̯- ‘to get frightened, fear’ and/or *du̯ei̯s- ‘to hate, be hostile’ to PIE *du̯o/i- ‘two(fold)’. Cf., e.g., Watkins 2011a:22 s.v. dwei-, who therefore posits an original meaning *‘to be in doubt, be of two minds’ for *du̯ei̯- (cf. also EIEC:198, EWAia I:770f., EDIV:82)."" The acknowledged sound change *dw- > *tw- > kw- (Laroche 1967a:50) did not happened in the Istanuwa Luwian."
"to be crazed with fear, to be terrified, to hate → to be terrified → terror → terrifying, fearsome, formidable",fear,terror,*h2tug-,*h2teu̯g-,"Gk. odysseo, Lat. odium 'hatred1, Arm. ateam 'I hate',ateli 'hateful, terrible', OB atol, ON atall Tierce, terrible' ","horror; terror, terrified, terrifying",,hatuk-,,,,,,,,"Puhvel (HED 275): The most plausible connection for hatuk- (since Gotze — Pedersen,MS 50-1 ) has been with Gk. (aor. inf.) d6m(o)ao0a\ 'be wroth""and its probable cognates Lat. odium 'hatred1, Arm. ateam 'I hate',ateli 'hateful, terrible', OB atol, ON atall Tierce, terrible' (/£W/773),to which Tischler (KZ 92:108-11 [1978]) added Crimean Gothicatochta (glossed by Lat. malum) as a strong-declension nom.-ace.sg. neut. from an *atugs < IE *odu-ko- Kloekhorst 336 PIE *h2téug-ti / *h2tug-énti .The generally accepted etymology is the one first suggested by Benveniste (1937: 497), who connected atuka/i- with Gr. 46 ‘to be distraught from fear, to be terrified’ < *h2tug-, which semantically is convincing indeed. The formal aspect of this etymology is more complicated however. If Hitt. atuk- indeed reflects *h2tug-, it would mean that the initial cluster *h2t- is reflected as Hitt. a-tV- and not **a-at-tV-, as one could have expected. To my knowledge, there are no other examples of such an reflex in Hittite (the often cited parallel apuš- ‘penis’ < *h3pus- is incorrect as the stem actually is pša(šš)- (q.v.), which denotes ‘shin-bone’ and not ‘penis’). On the contrary, forms like appeššar ‘limb’ < *h2p-ésr, attant-clever’ < *h2t-ent- or appanzi ‘they seize’ < *h1penti seem to show that initial clusters /Hp-/, /Ht-/ and /p-/ are spelled with a geminate stop. Nevertheless, all hese forms belong to ablauting verbs which could have caused restitution of the voiceless stop. So, I would like to propose that in *h2tug- the initial cluster *h2t- regularly lenited to Hitt. /Hd-/, spelled a-tV-, whereas in forms that show *HT- as a zero grade of *HeT- the fortis stop *T was restored, which yielded initial clusters /HT-/ and /T-/,spelled a-aT-TV- or aT-TV-.Couvreur (1937: 147) further connected atuk-zi and Gr. 46 with Skt. tuj- ‘tothrust’. Although at first sight this connection is semantically problematic, forms like tujyáte ‘he is put to panic’ may show that this connection is possible. Puhvel (l.c.) dismisses the etymological connection with Gr. 46(without argumentation) and connects atuk-zi with Gr. /04() ‘to be wroth against, to hate’. As this word is connected with Lat. odium ‘to hate’ (from PIE *h3ed-), it must in his view be analysed as a suffixed form *h3ed-u- or *h3d-u-. This does not fit the fact that Hitt. hatuk- clearly functions as a monosyllabic root. Moreover, if the preform were *h3d-u-, the initial *h3 would regularly drop in Hittite before a stop (cf. Kloekhorst 2006b)."
"to turn one’s back → to be afraid, to be frightened",fear,"fear, reverence",*nóh2-/nh2(-u)-,*neh2-,"OIr. nar ‘noble, modest’, Gk. νῷτον ‘back’, Lat. natis ‘buttocks’",to fear; fear; terror; terrified; to be of concern; fearsome,"/nahhassa-(i)/, (COR)na-ha-sa5-; /nahh(i)-/, (“COR”)na-hi-; /nahhutt(i)-/, na-hu-ti-; */nahh(uw)a-(i)/; naḫḫuwašša/i-","nāḫ-/naḫḫ-(i)- 'to fear' , HUS; naḫḫuwa- 'anxiety' (luw) našaratt- (c.) ‘fear,",naḫḫir ??? 481,,,,,,,"PIE *nóh2-ei, nh2énti, *neh2-sr Molina For nāḫḫ- it is customary to reconstruct PIE *neh2-. Keeping in mind that nāḫḫ- and its derivative naḫšaratt-, as well as OIr. nar ‘noble, modest’ coordinate with Gk. νῷτον ‘back’ and Lat. natis ‘buttocks’, Kölligan (2020: 152) suggests that PIE. *neh2- meant ‘to turn (back)’. Now, νῷτον would correlate with the acrostatic paradigm: *nóh2-t-/neh2-t- ‘turning (itr.)’, and natis – amphikinetic one (which can be derived from the acrostatic noun) nom. *neh2-ot-s, gen. *nh2-t-es, loc.*nh2-et-I ‘at the back’, vel. sim. Thus, the back appears to be the same body part that turns from the interlocutor, same as in Lat. dorsum (see Kölligan 2020:146f for typological parallels of semantic transitions ‘to turn one’s back > to fear, to be scared’)."
