concept,domain,semantics,PA root,PIE,IE-cognates,translation,luw,hitt,pal,lyd,lyc A,lyc B,pis,sid,carian,comments,datsemshift
to hate (basic verb) → to despise,enmity,hate,"PA *Peu̯KH- ‘to hate, to despise’",PIE *bheu̯-g,"Gk. φεύγω, Lat. fugiō ‘flee’, Lith. būgti ",hate; despise; hateful,,"pukk-/ pugga- '‘to be hateful, to  be repulsive'",,,,puke-(ti) ‘to hate’,,,,"PAna *Peu̯KH- ‘to hate, to despise’ Kloekhorst  681 See Tischler (HEG P: 641f.) for the different etymological proposals, which I all find improbable: connections with *bheugh- ‘to bend, to flee’, with Skt. pyati ‘to stink’, with Lith. pìktas ‘bad, evil’ and with Goth. fauho ‘fox’ either have the wrong semantics or the wrong form (-kk- must reflect *-k-). Derivatives: pukkant- ‘hated, hateful, repulsive’ (nom.sg.c. pu-uk-kán-za (NH),
nom.-acc.sg.n. pu-uk-kán (NH)), pukkanu-zi, pukkunu-zi (Ib2) ‘to cause (someone) to be hated, to create dissension’ (3sg.prs.act. pu-uk-ka4-nu-zi (NH), 2pl.pres.act. [p]u-ug-ga-nu-ut-te-ni (MH?/NS); part. pu-uk-ka4-nu-a-an-t- (NH); verb.noun pu-uk-ku-nu-mar (NS), gen.sg. pu-uk-ka4-nu-ma-aš (NS); impf. [pu-]uk-ka4-nu-uš-ke/a- (MH/NS)).              PIE *bhew-g-, see Gk. φεύγω, Lat. fugiō ‘flee’, Lith. būgti ‘to be scared’",
,enmity,hate,,,,hateful,,zēru/zīru-,,,,,,,,,
head → at loggerheads,enmity,hostile,PA *k̑Er(-eh2)-u̯r̥/un- ‘horn’,PIE k̑(e)rH1sr̥ 'head'; PIE *k̑er- head; horn,"Ved. śíras- n. ‘head, top’ (RV+ [nom./acc. sg. n. śíras, the other case forms being formed from a stem śīrṣán- ‘id.’ in the oldest language: instr. sg. śīrṣṇā́, gen./abl. sg. śīrṣṇás, loc. sg. śīrṣán, etc.); Ved. śṛ́ṅga- n. ‘horn’ .YAv. sarah- n. ‘head’ (Yt 10.40), MPers. sar, NPers. sar ‘head, top’, etc., Gk. κάρᾱ, Ep. and Ion. κάρη n. ‘head; peak, top’, [+]  κέρας n. ‘horn’ (Il.+), Myc. ke-ra-a = /keraha/ nom. pl. n. ‘horns’,Arm. sar, -oy ‘peak, high place’ Lat. cornū, -ūs n. ‘horn’ (Plaut.+), cornum n. ‘id.’ (Ter.+); [+]  cerebrum n. ‘brain’ (Plaut.+); [+]  cervus m. ‘stag, deer’ (Plaut.+), MW carn ‘hoof’, OBret. carn gl. ‘(Lat.) ungula caballi, horse’s hoof’, etc.; [+]  Gaul. κάρνυξ ‘trumpet’; [+]  OW caru ‘deer’, MW carw ‘id.’, MBret. caru, caro ‘id.’, Goth. haúrn n. ‘horn’, ON horn n. ‘id.’, OHG horn n. ‘horn; point, end’, etc.; [+]  OHG (h)rind n. ‘cow, bovine’, OS hrīth n. ‘id.’, etc.; [+]  OHG hirni n. ‘brain’, ON hjarni m. ‘id.’, etc. OPr. sirwis ‘roe’; [+]  Lith. stìrna f. ‘roe’, Latv. stir͂na ‘id.’; [+]  OPr. curwis ‘ox’, Lith. kárvė f. ‘cow’ .RuCS srŭna f. ‘roe’, ORuss. sĭrna f. ‘id.’, Russ. sérna f. ‘chamois’, etc.; [+]  CS krava f. ‘cow’, Russ. koróva f. ‘id.’, SCr. krȁva f. ‘id.’",враждебный,harmahi- ? Hed H 189,ḫaršallant-/ḫuršallant-,,,,,,,,"A denominative from ḫaršar / ḫaršan- ‘head’ and mentions Eng. ‘at loggerheads’ as a typological parallel. Rus. ‘набычиться’ (nabychitsa) shows the same semantics (with the only difference for the heads, these belonging to bulls). Probably in Hittite.                  https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=935",
"to hurt, to damage → to disapprove of",enmity,disapproval,PA *mork-iye/o- 'hurt',PIE *mork-iye/o- 'hurt',"Skt. marc- ‘to hurt, to damage’, Lat. murcus ‘mutilated’",,,markie/a-zi,,,,,,,,"According to Knobloch (1959: 39), followed by Oettinger (1979a: 346)), this verb belongs with Skt. marc- ‘to hurt, to damage’ and Lat. murcus ‘mutilated’. Puhvel (HED 6: 76) agrees with him and provides convincing parallels for a semantic shift of ‘to hurt, to damage’ to ‘to disapprove of’. Formally, we see a nice similarity between Skt. pres. marcáyati and Hitt. markiazi < *morkéyeti 'makes hurt'.",
to be savage → to rage → to be hostile ,enmity,hostile,PA kūr,PIE *ĝhuh1r-ur-,"Ved. hvarate 'deviate', Avest. zurah- 'iniquity' was featured by Mayrhofer {KEWA 3:620) but remains semantically dubious and under the lingering cloud o{ Lai. f alio 'deceive' and IE *gh\vel- (IEW489-90) as etyma of the Indo-Iranian words. Mayrhofer {KEWA 3:620) connected *ĝhuer- 'walk crookedly'. *ĝhuer- 'wild beast' (Gk. Ofjp, OCS zverL Lith. zveris.  Lat. furor 'rage' Skt. krūrá- ‘bloody’,",враждебный,,"kūrur- (n.) ‘enmity, hostility, war(fare)’, kūrura- (c.) ‘enemy’:",,,,,,,,"Puhvel 285 Somewhat like kallar- 'balefulness' (q.v.), kurur- is at the base an abstract neuter noun which has diversified a bit via appositional juxtaposition and specific derivation, partly on the model of Akk. nakdru.
Despite Benveniste's despairing ""isole et inanalysable"" (Origines 37), kurur- was improbably connected with Skt. krura- 'bloody, cruel', Lat. eruor 'blood', crudus 'raw' (etc.) from H. Holma (Jour- nal de la Soeiete finno-ougrienne 33.1:66 [1916]) and Hrozny (Heth KB 137) to Sturtevant (Lg. 6:217 [1930], Comp. Or.1 32, Comp Gr2 56-7) and beyond, possibly as a dissimilatory *krurur (Kronasser, Etym. 1:103). Sturtevant himself launched a dubious parallel deri- vation o{ kurur- from kucr- 'cut' (Comp. Gr.] 119, 148) which lin-gered through Laroche (BSL 58:69 [1963]), Carruba (Beschwo-rungsritual 53, with wrong reference to Sturtevant), Gusmani (Les-
sico 117), and Oettinger (Stammhildung 120). Van Windekens (Arch.Or. 57:336 [1989]) thought of Gk. Papvq 'heavy'.H. Eichner's brief suggestion (MSS 31:75, 99 [1973]) kurur < *ghwr-\\r 'crookedness, deceit' and adduction of Ved. hvarate 'deviate', Avest. zurah- 'iniquity' was featured by Mayrhofer {KEWA 3:620) but remains semantically dubious and under the lingering cloud o{ Lai. f alio 'deceive' and IE *gh\vel- (IEW489-90) as etyma of the Indo-Iranian words. Mayrhofer {KEWA 3:620) connected *ghwer- 'walk crookedly' with *gh\ver- 'wild beast' (Gk. Ofjp, OCS zverL Lith. zveris, Lat.ferns). This is very doubtful, but *gh\ver- itself may hold the clue to kurur-, with a root-meaning 'be savage, rage'; a *gh\vr-\vr 'savagery' may hence stand as the proto-form underlying kurur-. It might even be worth considering whether *gh\vr-wr holds the key also to the reshaped Lat. furor 'rage', since other etymologies for furo 'to rage' (*bhuro, *dhuso, *dhuro) are all flawed (see Walde-Mofmann and Ernout-Meillet s. v.), leaving the possibility of *ghuro (cf. fundo < *ghud-no). Semantically kurur- and furor make sense as referring originally to warlike fury, same as Irish ferg and Ger- man Wut (cf. the glossing of Wodan by 'Furor' [Adam of Bremen 4.26]).",
"push away → forsake, abandon → neglect → be unfriendly",enmity,hostile,PA *paskw-,,"Goth. af-skiuban ‘push away, forsake, abandon’.","aloofness (?), unfriendliness (?) hapax",puškantatar; puškant(i)-  HLuw. paskw- ‘to neglect’; pa-sà-REL-i (/paskwi/)'‘neglects’',"puškant(i)- ‘aloof (?), unfriendly (?); ’paškuwae-, pašku- (ант  (ḫuišnu-) 'aloofness'; V pašku- ‘to reject, to ignore; to neglect; to remove’ (EDHIL 651-652); V pasku(wai)- ‘abandon, forsake, dismiss, disown, discharge’ (HED Pa:190-192)",,,,,,,,"Kloekhorst 651 pašku-zi (Ib1 > Ic2) ‘to reject, to ignore; to neglect; to remove’:The original stem is pašku-, which is visible in the MS forms paškutta and paškuanzi. Especially the form 3sg.pret.act. paškutta (and not **paškut) shows that we have to phonologically interpret this stem as /paskw-/. In NH times, the trivial transition into the atrae-class yielded forms like paškunun and paškuwait. In HLuwian, we find a verbal form pa-sà-REL-i ‘neglects’ which likely is to be interpreted as /paskwi/ (note the i-inflection), which would indicate that the PAnat. form was *Paskw- (since *gw would have disappeared in Luwian). This is supported by the PN f Pa-aš-ku-a-am-mi-iš (KUB 31.59 ii 4), which formally is to be interpreted as a Luwian participle of a stem pašku(a)-. Kloekhorst knows of no IE cognates, however.                           (Puhvel HED Pa:190-192) A. Carnoy (La Nouvelle Clio 6: 231 [1954]) suggested *pa-sqeu- (comparing Lat. obscūrus), pasku- joins pastar(iya)- (q. v.) in attesting pa- matching Hitt. pe-. A verb pa-sku- resembles Goth. af-skiuban ‘push away, forsake, abandon’.",
,enmity,hostile,,,,враждебный,,ṣerru e клукхорста нет,,,,,,,, ,
,enmity,hostile,,,," sullen?, hostile < Sammi- (",,uš(š)ammi-,,,,,,,,,
,enmity,hostile,,,,"foreign (? ""not one's own""); alien, hostile","/nawaralla/i-/, na-wa/i+ra/i-li-; niwaralla/i-; niwaralla-(ti , /waralla/i-/, wa/i+ra/i-la- ‘own’",,,,,,,,,"The adjective waralla/i- is used to modify ann(i)- ‘mother’. For the semantic interpretation, it was generally treated together with its antonymic compound ni-waralla/i- (see under Lemma). Building on the translation of niwaralla/i- as ‘hostile’ (van Brock 1962a:116), Hawkins & Morpurgo Davies 1975a:129 consider ‘own, proper’ for CLuw./HLuw. waralla/i-, and explain the meaning ‘alien, hostile’ of niwaralla/i- as a development from ‘not one’s own’ (see also Hawkins 1981a:175; accepted in Starke 1980b:79, Starke 1990a:452, CLL:257, Yakubovich 2013a:164). The meaning ‘one’s own’ that, in this context, distinguishes the biological mother from a foster mother, adds a plausible notion to the sentence. In contrast, Puhvel (HED N:122) argues that the Hittite root warr- ‘help’ underlies each member of the word family and that the meaning of waralla/i- is ‘caretaker (foster) mother’, while the antonym niwaralla/i- is interpreted as ‘unhelpful, uncaring, heedless’. However, the consistent spelling difference with singleton -r- in waralla/i- and derivatives vs geminate -rr- in the word family of the root warr- ‘to help’ disproves this hypothesis. In addition, the mention of the mother (KUB 35.103 ii 14’) and father (ibid. ii 16’) in two adjacent sentences confirms the above interpretation",
,enmity,hostile,,,,having a negative attitude or being negative,šamlayaya-,šamlayaya-,,,,,,,,"GIŠšamaliya- (a tree, its wood or fruit used for preparing an aromatic steam with sedative effect)",
"leave, abandon → defiecient → defective → not right → sin",enmity,offence, > PA *u̯eh2š-dē- (возможна ассимиляция h-s > ss?) ,PIE *h1u̯eh2-š-dheh1,"Ved.  ūná- ‘wanting, deficient, defective’ (AV+; cf. án-ūna- ‘unfailing, inexhaustible’ RV [+] ), Av. ūnā- ‘deficient (offering)’, Arm. ownayn ‘empty’,  Lati. vānus ‘empty’,  Proto-Germanic *wanaz ‘deficient, lacking (in)’ (Gothic wans, Old Norse vanr, Old English, Old High German wan ","sin, failure; offense; sinful, offensive (deed)",wašku(i)-; waškui(t)-; wašku(wa)llimma/i; waškuwan-; wašt(a)-,"waštul- (var. uštul-) wašta-/wašt-(ḫi) ‘to sin, offend’ wašku(i); waštul- /waštanu-",,,,,,,,"*h1u̯eh2- ‘leave, abandon, lose’  Vedic vā́yati ‘fades away, becomes empty, lacks, loses’ and Ancient Greek ἐάω ‘abandon, leave behind, leave alone’ (whence ‘let be, allow, permit’; see Nussbaum 1998b:79). An absolute intransitive meaning ‘quit, fail, be deficient’ (see Nussbaum 1998b:81–83) is suggested by Latvian vâjêt ‘become weak’ and a couple of nominal formations, including adjectives in *-(o)no- such as *h1uh2-no- > Vedic ūná- ‘wanting, deficient, defective’ (AV+; cf. án-ūna- ‘unfailing, inexhaustible’ RV [+] ), Avestan ūnā- ‘deficient (offering)’, Armenian ownayn ‘empty’, *h1u̯eh2-no- > Latin vānus ‘empty’, *h1uh2-ono- > Proto-Germanic *wanaz ‘deficient, lacking (in)’ (Gothic wans, Old Norse vanr, Old English, Old High German wan, etc.). It is not surprising that formations in this semantic range can adopt meanings of negative value judgment (e.g., Latin vānus ‘empty’ and ‘false, lying, deceptive, delusive, untrustworthy’, and further English fail and failure, German fehlen ‘to be missing’ and Verfehlung ‘wrongdoing, transgression’). In this regard, it is important to note that Hittite wašta-/wašt-(ḫi) also means ‘to miss (a target)’ (cf. Puhvel 1992a:7; HEG W-Z:406), which might preserve the older meaning. Kloekhorst 931 Derivatives: wašdulae-zi (Ic2) ‘to offend’  wašdulaant- ‘offense’ PIE *usTh2/3-éul This word clearly is cognate with ašta-i / ašt- ‘to sin’ (q.v.). Although the bulk of the attestations of this word show a stem wašdul-, the oldest ones show wuštul-. This latter stem therefore must have been the original one. Apparently, the zero grade stem ušt- of uštul- was replaced by ašt- in the early MH period, probably in analogy to the full grade stem of the verb. The fact that we find an original zero grade root in this noun implies that the suffix -ul- must have been accented, which is supported by the spelling a-aš-du-ú-li, which must reflect *-éul-i. See s.v. ašta-i / ašt- for further etymology. Note that despite the one NS commune form acc.sg.c. ašdulin all other forms clearly indicate that the word is neuter.",
,enmity,offence,,,,"to desecrate, offend","marša- ‘false act, treachery’",,,*mrša-,,"mrssxa-(ti) *mrssa- , mrssxa",,,,"PAna *mr̥s-éh2- ‘false act, desecration’",
"to press, to apply pressure physically → to press / put pressure on someone psychologically",enmity,oppression,PA *dmaHs-/*dm̥Hs- '1. to press (physically); 2. to oppress (psychologically)',PIE*dm̥‑né/n‑h2‑,"Gr. εdαmασα ‘to tame’, OIr. damnaim ‘to tie up’, Skt. damyáti ‘to tame’, Lat. domre ‘to tame’",to (op)press,damaš-ti,tamāšš-/tame/išš-(zi) ‘to (op)press’ damešḫai-   tamas,,,,,,,,"*dméh2-s-ti / dmh2-s-énti.  *dmaHs-/*dmHs- PIE n‑pres. *dm̥‑né/n‑h2‑, cf. Ved. damāyáti ‘to tame, oppress’ (refashioned, EWAia I:698, Grassmann 1996a:576f.), Gk. δάμνημι, Dor. δάμνᾱμι ‘to tame, subdue, conquer (esp. of horses)’ (GEW I:346, DELG:250f., EDG:301, LSJ:368), OIr. damnaim ‘to subdue, break in (of horses)’ (eDIL  s.v. 2.damnaid, EDPC:88) PIE iter. *domh2‑éi̯e/o‑, cf. Ved. damáyati ‘to tame’, Khot. dīm‑/danda- ‘to tame’, Oss. domyn/dæmun ‘to tame, exhaust, request’ (EWAia I:698, Grassmann 1996a:576f., EDIV:55, Abaev I:365f.), Lat. domāre ‘to tame’ (WH I:367f., EM:182, EDLIL:178), PGerm. *tamjan- (Goth. ga‑tamjan [hapax, Mk.5.4], ON temja ‘to tame’, OHG zemman) [+] (EDPG:508, GED:149f., Bjorvand & Lindeman 2000a:922, Kluge & Seebold 2011a: 1001, Heidermanns 1993a:589f.) Celtic OIr. daimid ‘to endure, suffer’ (eDIL s.v. daimid, EDPC:89f.) Regarding the Anatolian semantics, the meaning of PAnat. *dmaHs- ‘to press (physically)’ [+] is primary, and ‘to oppress (psychologically)’ secondary, [+] cf. Buck 1949a:575. The meaning ‘to tame’ of PIE 2.*demh2- can be established only for a fairly recent stage of Core IE, while the original meaning has to be approximated as ‘to press (physically)’.2. Connection with PIE *dem- ‘to build’ A connection of PIE 2.*demh2- ‘to press, oppress’ (contra LIV²:116f., cf. above) with PIE 1.*dem- ‘to assemble, build’ is frequently assumed. [+] A factitive relation seems plausible: ‘to build’, ‘house’ → ‘to make appropriate for living by a house’ > ‘to domesticate, tame’. However, since the primary meaning of PIE 2.*demh2- is ‘to press (physically)’, this development is impossible. In order to connect both roots, the original meaning of 1.*dem- ‘to build, assemble’ can hence be approximated as ‘to press on, compress (clay vel sim.)’, [+] thus: (early) PIE *dem- ‘to press (physically)’> PIE 1.*dem- ‘to press on, compress (clay vel sim.)’ > ‘to build, assemble’ (cf. Lyd. tam- ‘to build’)→ PIE 2.*demh2- ‘to press (physically)’ (cf. PAnat. *dmaH‑s‑) > ‘to oppress (cf. PAnat. *dmaH‑s‑); to tame (cf. Gk. δάμνημι)’ The meanings ‘to build, assemble’ and ‘to (op)press’, might exhibit a polysemy that already existed in PIE. For the root-final *‑h2- in PIE 2.*demh2- ‘to press’, cf. below. Kloekhorst 825 damme/iš- (c.) ‘damaging, act of violence, punishment’: IE cognates: see s.v. tamšš-zi / tame/išš-. Gr. 0‘to tame’, OIr. damnaim ‘to tie up’, Skt. damyáti ‘to tame’, Lat. domre ‘to tame’.PIE *demh2-sh2ó- See Otten 1973: 52 for attestations. This noun and its derivatives are almost consistently spelled with the sign DAM. Although in NS texts this sign can be read dax as well (see e.g. tamšš-zi / tame/išš- and ištamašš-zi (s.v. (UZU)ištman- / ištamin-)), its usage in MS texts and especially the OS attestation t-m-[m]i-iš ha-an-ta-an show that all attestations should be read with geminate -mm-. We find spellings with -i- as well as -e- in MS texts already, which points to a phonological interpretation /taMsH-/. Already Götze (1930: 179) connected damme/iš- with the verb tamšš-zi / tame/išš- ‘to oppress’. Although this is generally accepted, the fact that damme/iš- shows geminate -mm-, whereas tamašš-zi / tame/išš- does not, is significant. As I have argued s.v. tamšš-zi / tame/išš-, this verb has to be phonologically interpreted /tmS-/, /tmS-/ and goes back to *dméh2-s-ti, *dmh2-s-énti. The noun damme/iš- must be phonologically interpreted /taMsH-/, however, with a real vowel -a- between d- and -mm-. This vowel can only reflect a real PIE vowel. I therefore reconstruct *demh2-sh2ó-. For the development of *CeRHsC > CaRRsC compare kallišta /káLsta/ ‘called’ < *élh1st(o). For the suffix -ša- compare e.g. palza()a-, ameša-, teša-, etc. Иванов 175",18
,enmity,oppression,,,,"to cause to be vexed, perturbed or malicious (?)’",ḫaninu-,,,,,,,,,from PA *hant- 'face',
,enmity,oppression,,,,"might, power; to control, conquer; conquest; mightiness, feistiness; mighty; mightiness, feistiness","/muwa-(i)/, mu-wa/i- ; /muwatta-/, mu-wa/i-ta-; mūwattalaḫi(t)-; /muwatalla/i-/, (FORTIS)mu-wa/i-ta-li-; muwatallatar/n- cognates: CLuw. muwa- ‘to overpower HLuw. muwa- ‘to dominate(?), to atack(?) muttiya-’",muwa-,[A.]A-ant- (/muwant-/?),*mu- ,,"muwa- , muwa-(ti), mutele/i- Lyc. muwete- ‘descendence?’.",*μουα-,,,"PAna *móu̯H-/muH-´ ‘to move’; PIE root *m(i̯)eu̯h1- ‘to move’; possible PIE *meu̯h1/3- ‘(be) abundant, reproductively powerful’ Kloekhorst 590 The stem muwa- is quite wide-spread in theAnatolian languages, especially in names (Hitt. mMuatalli-, Lyc. Mutli). The precise meaning of muw a- is not fully clear, but CHD’s translation ‘awe-inspiring’ is probably not far from it. The connotation ‘male seed’ is perhaps found in HLuw. muwita- ‘seed(?)’, and perhaps Lyc. muwte-, if this really means ‘descendance’ < ‘male seed’ (thus Tischler HEG L/M: 240). Within Hittite, all derived forms show Luwian suffixes, which makes it likely that the term originally was Luwian. No clear etymology.",
,enmity,oppression,,,,to cut; severe; neglect,"karš-(ti) karšattar / karšattn- (n.) ‘parcel (of land), selection (of animals); block (of metal)’","karš-(mi) ‘to cut (off), to neglect’",karš-,"*karš-, karše-(d)  to cut off  fa-karse- ‘to cut (out)’.",,,,,,"*kérs-/kr̥s- Kloekhorst 454´ karš(ie/a)-zi (Ia4 / Ic1 > Ic2, IIa1) ‘to cut (off), to separate; to stop’ (Sum. TAR):Derivatives: karša- (c.) ‘clipping’ (acc.pl. kar-aš-šu-uš (KUB 17.10 iii 5, 6(OH/MS)), karšatar (n.) ‘chunk’ (nom.acc.sg. kar-ša-tar), karšeššar / karšešn- (n.)‘cutting, parcel’ (gen.sg. kar-še-eš-na-aš, dat.-loc.sg. kar-še-eš-ni), karšatt- (c.)‘cutting, removal’ (dat.-loc.sg. kar-ša-at-ti), karšantalli- (c.) ‘?’ (acc.pl. [k]ar-ša-an-ta-al-li-uš), karšnu-zi (Ib2) ‘to cut off, to cancel’ IE cognates: TochAB kärs- ‘to know’, Gr. #‘to cut’, Lith. skìrti ‘to divide’,etc.PIE *krs-é/ó-; *kérs-t / *krs-ént See Puhvel HED 4: 100f. for attestations. The most common stem of this verb is karš-zi. A stem karšie/a-zi only occurs in 3sg.pres.act. in the Hittite Laws. This is reminiscent of the distribution between karp-zi and karpie/a-zi ‘to take (away)’, which reflects an old distinction between root-aorist *kerp- vs. derived present *krp-e/o- (cf. Melchert 1997b: 86). In NH texts, we occasionally find forms that display a stem karšae-zi (karšanun and possibly karšauar) and a stem karš(a)-i (karšatti and possibly karšauar), according to the highly productive atrae- and tarn(a)-class respectively. Already since Hrozný (1919: 205) this verb is commonly connected with PIE *ker- ‘to cut’. In Hittite, we apparently are dealing with an s-extension, which is also visible in TochAB kärs- ‘to know’. The common geminate spelling of -šš- shows that we have to phonologically interpret this verb as /karS- / krS-/. The fortition of *s to /S/ is due to the adjacent -r- (compare keššar /keSr/ ‘hand’ < *hésr). The interpretation of kar-aš-šu-uš as belonging to a noun karša- ‘clipping’ instead of belonging to karaš ‘wheat’ (thus e.g. Puhvel HED 4: 75), I owe to prof. Melchert (p.c.). According to Melchert (1994a: 332), Lyd. fa-karse- reflects *-kors-ée-.",
to speak → to curse,enmity,curse,PA *tér‑/*tr̥- to speak’ (для глаголов со значением проклятия -- редупликация), PIE *ter- 'to speak',"Skt. tārá- ‘loud, shrill, pervasive’ ,  Gk. fut. 1sg. τετορήσω ‘to proclaim in shrill piercing tones’ (hapax, Ar.Pax381), τορός ‘loud, shrill, clear; fast, agile’ (A+)  OIr. torm ‘sound, tumult’Lith. tariù, tarýti ‘to speak, say’, OPr. tattrātwei, etc. ‘to answer’, acc. sg. tārin f. ‘voice’ (III) TochB m‑part. tärraskemane ‘pleading, imploring’ or ‘comforting, soothing’ (hapax) ",проклинать,tātariyamman- ‘curse’ /*tadariya-(i)/ ‘to curse,tē-/tar-(mi) ‘to speak’,dar- ‘to speak(?)’,,dderije-(ti) ‘to curse (?)’,,,,,"Skt. tārá- ‘loud, shrill, pervasive’ [+] Gk. fut. 1sg. τετορήσω ‘to proclaim in shrill piercing tones’ (hapax, Ar.Pax381), τορός ‘loud, shrill, clear; fast, agile’ (A+) [+] OIr. torm ‘sound, tumult’Lith. tariù, tarýti ‘to speak, say’, OPr. attrātwei, etc. ‘to answer’, acc. sg. tārin f. ‘voice’ (III) TochB m‑part. tärraskemane ‘pleading, imploring’ or ‘comforting, soothing’ (hapax)  PIE *terh1- ‘to drill, rub’ (LIV²:632f.) or PIE *terh2- ‘to pass, cross’ ",
слышать? плакать? --> ???,enmity,despise,"PIE (Eichner) *ghēus-tu- '(to) bring to hearing (in an evil way)', *ghous- = ‘to hear’ or ‘to cry out’",,,унижать,,kusduwai-,,,,,,,,"Puhvel 296 Verbal noun from a denominative verb fkusduwantai^from kusduwant- (cf. e. g. hantantai-, tiyant-ai- [HED y 1051). i^*r*.k*-w<-AiA->va-a*-ie-i*-U3U-*^ KU \i-i** Probably quasi-phonesthetic like tastasiya- 'whisper'; positing a syncopated *ku 's(i)du(wa)- (vel sim.), one may compare Gk. y/(6v-pog 'slanderer, 8idpoXog\ y/iOvpi^co 'whisper, slander'. Or perhaps *gh""'sdhu-, with epenthetic iota as in nivvxoql ( пинутос)",
loss → betrayal → humiliation,enmity,oppression,,"PIE *léh1u-ri-s, *léh1u-ri-m, *lh1u-réi-s ?","Goth. lewjan ‘to betray’, Lith. liáutis ‘to stop’, Ukr. livýty ‘to omit, to neglect",унижение,,"luriyaḫ- 'to humilate, embarrass'",,,,,,,,"Kloekhorst 534 luri- (c. > n.) ‘loss of honour, disgrace, humiliation; financial loss; shortage(?)’ (Sum. I.BÍ.ZA):Derivatives: lriatar (n.) ‘disgrace, humiliation’ (nom.-acc.sg. [l]u-u-ri-a-tar (NH)), lria-i (IIb) ‘to humiliate, to disgrace’ (3sg.pret.act. lu-ri-a-a-ta (NH),2sg.imp.act. lu-u-ri-a-a (NH), 3pl.imp.act. lu-ri-a-a-a-an-du (OH/NS), impf. lu-u-ri-a-a-i-eš-ke/a- (NH)). PIE *léh1u-ri-s, *léh1u-ri-m, *lh1u-réi-s ? See CHD L-M: 86f. for attestations. About the semantics it states: “the unifying idea seems to be ‘loss’, whether of possessions, honour or station”. The word shows many plene spellings of the -u-, for which predominantly the sign U is used. Twice, we find the sign Ú, however. Either these two instances are scribal errors, or we are dealing with traces of an original ablaut between lu-u-ri- = /lóri-/ and lu-ú-ri- = /lri-/ (see § 1.3.9.4f and below). The oldest attestations show commune gender, whereas the one neuter form is attested in a NH text only. According to Puhvel (HED 5: 123), l ri- is to be analysed as a deverbal noun in -ri-, just as edri- ‘food’, šri- ‘shape’ etc. that are derived from ed-zi / ad- ‘to eat’
and eš-zi / aš- ‘to be’ respectively. If this is correct, we may think of a connection with the verbal root *leh1-, which shows a u-present in e.g. Goth. lewjan ‘to betray’, Lith. liáutis ‘to stop’, Ukr. livýty ‘to omit, to neglect’. Perhaps lu-ú-ri- = /lri-/ reflects *leh1u-ri-, whereas lu-u-ri- = /lóri-/ reflects *lh1u-ri-.",
,enmity,oppression,,,,"заставлять кого-то чувствовать вину (?); что-то, связанное с сексом",,šaššumai- (CL),,,,,,,,,
,enmity,oppression,,,,to defeat (like Tarhunt?),"/tarhuwanu(wa)?-(i)/, TONITRUS-wa/i-nú-wa/i- tatarh- may mean ‘to break’,","tarhuilatar: tarḫ-, tarḫui- 'heroism, braveness'",,,,,,,,"Kloekhorst 835 tarhu-zi (Ia4) ‘to prevail, to conquer, to be powerful, to be able; (with =z) to defeat’: IE cognates: Skt. t)rvati ‘to overcome, to overpower’, Av. tauruuaiieiti ‘to overcome’. PIE *terh2-u-ti, *trh2-u-enti The view that we are dealing with a stem taru-/taru- only is supported by etymological evidence as well. The verb denotes ‘to conquer, to prevail, to be powerful’ and has since Kuryłowicz (1927: 102) generally been connected with the
PIE root *terh2-. This unextended root, which was thought to be the predecessor of Hitt. “tar-”, does not mean ‘to overpower’, however, but ‘to cross, to pass through’ only (Skt. tari - ‘to pass through’, Lat. trns ‘past, over’). This does not fit the Hittite meaning ‘to conquer, to overpower’. Such a meaning is only attested in the u-present *terh2-u- as reflected in Skt. t)rvati ‘to conquer, to overpower’, Av. tauruuaiieiti ‘to overcome’ (*trh2-u-e/o-). So also semantically it has become clear that an analysis /tarH-/ is impossible: there would be no way to explain its meaning ‘to conquer’ from PIE *terh2- ‘to pass through’. The meaning ‘to conquer’ is only explicable
from PIE *terh2-u- ‘to overpower’, which is an additional argument to read all forms with tar-A/U- as tar-u-. ( more...) Иванов 74",
